Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
501;07/13/2025;18:00:00;82;72;39;39;3664;2323;82;647;81;81;22;11;83;80;23;11
502;07/13/2025;18:15:00;82;72;39;39;3646;2303;83;682;82;81;22;11;83;81;22;11
503;07/13/2025;18:30:00;82;71;39;39;3666;2292;82;594;82;81;22;11;83;80;23;11
504;07/13/2025;18:45:00;81;71;40;40;3733;2294;82;615;81;80;23;11;82;80;23;11
505;07/13/2025;19:00:00;81;71;38;39;3632;2261;81;708;81;81;22;11;82;80;23;11
506;07/13/2025;19:15:00;80;70;40;40;3695;2252;81;715;80;80;22;11;81;79;23;11
507;07/13/2025;19:30:00;80;70;41;41;3757;2241;81;629;80;79;22;11;81;78;23;11
508;07/13/2025;19:45:00;81;71;40;40;3663;2225;81;612;80;80;22;11;82;79;22;11
509;07/13/2025;20:00:00;81;70;40;40;3688;2216;81;618;80;79;23;11;82;79;22;11
510;07/13/2025;20:15:00;80;70;40;41;3689;2214;81;608;80;78;21;11;81;79;23;11
511;07/13/2025;20:30:00;80;70;39;41;3710;2197;80;612;79;79;22;11;81;79;23;11
512;07/13/2025;20:45:00;80;70;41;40;3714;2244;80;613;79;79;23;11;81;78;23;11
513;07/13/2025;21:00:00;80;70;40;40;3749;2307;80;622;79;79;22;11;81;78;23;11
514;07/13/2025;21:15:00;80;69;42;42;3780;2232;80;627;79;78;22;11;81;77;22;11
515;07/13/2025;21:30:00;80;68;42;41;3657;2103;79;629;79;77;22;11;80;77;23;11
516;07/13/2025;21:45:00;79;70;41;41;3511;1957;80;632;78;78;22;11;80;77;23;11
517;07/13/2025;22:00:00;79;69;41;41;3362;1805;80;633;78;77;22;11;80;77;22;11
518;07/13/2025;22:15:00;79;69;41;41;3231;1688;79;632;78;78;22;11;79;77;23;11
519;07/13/2025;22:30:00;79;69;42;41;3119;1551;79;632;78;77;22;11;79;77;23;11
520;07/13/2025;22:45:00;78;68;42;42;3173;1553;79;638;78;77;22;11;79;77;22;11
521;07/13/2025;23:00:00;78;68;42;42;3171;1547;78;641;77;77;22;11;79;76;23;11
522;07/13/2025;23:15:00;79;68;42;42;3183;1573;79;643;78;77;22;11;79;76;23;11
523;07/13/2025;23:30:00;79;69;41;42;3173;1549;79;643;78;77;22;11;79;77;22;11
524;07/13/2025;23:45:00;79;68;42;42;3175;1542;78;644;77;77;22;11;79;76;23;11
525;07/14/2025;00:00:00;77;68;43;42;3112;1501;77;649;76;76;22;11;78;76;22;11
526;07/14/2025;00:15:00;77;68;43;42;3156;1502;76;650;75;75;23;11;78;76;23;11
527;07/14/2025;00:30:00;77;67;43;43;3142;1476;77;646;76;76;22;11;78;75;23;11
528;07/14/2025;00:45:00;77;68;43;42;3132;1461;77;647;76;76;22;11;77;75;23;11
529;07/14/2025;01:00:00;76;67;43;42;3142;1477;76;649;75;75;22;11;77;75;23;11
530;07/14/2025;01:15:00;77;67;44;44;3163;1455;76;650;75;75;22;12;77;74;23;12
531;07/14/2025;01:30:00;76;67;44;43;3179;1480;76;650;75;74;23;13;76;74;23;13
532;07/14/2025;01:45:00;77;68;44;44;3120;1417;76;650;75;75;22;11;77;74;23;11
533;07/14/2025;02:00:00;75;68;43;43;3029;1377;75;651;74;75;22;11;75;74;23;11
534;07/14/2025;02:15:00;75;67;43;43;2989;1330;75;653;74;75;23;13;76;74;23;13
535;07/14/2025;02:30:00;76;68;43;43;2901;1257;76;652;75;75;22;11;76;74;23;11
536;07/14/2025;02:45:00;76;67;43;43;2956;1273;76;654;75;75;23;12;76;74;23;12
537;07/14/2025;03:00:00;75;67;43;43;2900;1262;74;658;74;74;22;13;75;74;23;13
538;07/14/2025;03:15:00;74;66;43;44;2962;1236;74;650;73;74;23;15;75;73;23;15
539;07/14/2025;03:30:00;74;66;44;44;2957;1225;75;654;74;74;23;16;75;73;24;16
540;07/14/2025;03:45:00;74;66;44;44;2984;1211;74;657;73;74;23;17;75;73;23;17
541;07/14/2025;04:00:00;73;66;44;44;2864;1149;74;656;73;73;23;19;74;72;23;19
542;07/14/2025;04:15:00;73;65;45;45;2975;1140;72;652;72;72;24;22;73;72;24;22
543;07/14/2025;04:30:00;73;65;45;46;2983;1130;73;648;73;72;24;22;73;72;25;22
544;07/14/2025;04:45:00;73;65;46;45;2990;1144;73;642;72;72;24;22;75;72;25;22
545;07/14/2025;05:00:00;74;66;45;46;2998;1153;75;636;75;73;23;19;75;73;24;19
546;07/14/2025;05:15:00;74;63;48;47;3134;1145;74;613;74;71;25;28;76;70;25;28
547;07/14/2025;05:30:00;75;64;47;47;3149;1184;74;620;73;72;24;23;76;71;25;23
548;07/14/2025;05:45:00;73;64;46;46;3078;1177;74;617;74;72;24;22;74;71;25;22
549;07/14/2025;06:00:00;73;64;46;44;3009;1164;74;621;73;72;24;23;74;71;25;23
550;07/14/2025;06:15:00;76;65;46;45;3072;1180;76;617;76;73;24;18;78;72;24;18
551;07/14/2025;06:30:00;77;64;45;46;3150;1248;77;655;77;73;23;16;79;73;23;16
552;07/14/2025;06:45:00;78;64;47;47;3343;1327;78;646;78;73;23;16;79;73;24;16
553;07/14/2025;07:00:00;78;64;46;47;3401;1398;79;651;78;73;23;18;79;73;23;18
554;07/14/2025;07:15:00;78;64;47;47;3490;1495;78;649;78;73;23;18;78;73;24;18
555;07/14/2025;07:30:00;77;64;45;46;3478;1518;77;650;76;73;23;19;78;72;24;19
556;07/14/2025;07:45:00;78;64;47;47;3552;1602;78;654;77;73;23;16;80;73;23;16
557;07/14/2025;08:00:00;79;64;46;46;3603;1665;79;655;78;74;22;14;80;73;23;14
