Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
10001;06/16/2025;15:15:00;69;61;50;50;4587;2395;69;579;69;67;29;40;70;67;29;40
10002;06/16/2025;15:30:00;69;60;48;50;4552;2421;70;583;70;68;28;39;71;67;29;39
10003;06/16/2025;15:45:00;69;61;49;49;4544;2420;69;577;69;68;28;40;70;67;29;40
10004;06/16/2025;16:00:00;69;61;49;50;4559;2423;69;579;69;68;28;38;71;67;29;38
10005;06/16/2025;16:15:00;70;61;49;48;4493;2429;70;577;70;68;28;37;71;68;27;37
10006;06/16/2025;16:30:00;70;62;47;49;4536;2422;70;581;69;68;27;38;71;68;28;38
10007;06/16/2025;16:45:00;70;62;48;48;4508;2443;69;584;70;68;28;38;70;68;28;38
10008;06/16/2025;17:00:00;70;62;49;49;4557;2420;70;580;69;68;29;38;71;67;29;38
10009;06/16/2025;17:15:00;71;61;49;49;4556;2401;70;579;70;68;27;36;71;68;28;36
10010;06/16/2025;17:30:00;70;61;48;48;4519;2435;70;586;70;68;28;37;71;68;28;37
10011;06/16/2025;17:45:00;70;61;49;49;4568;2413;70;582;69;68;28;37;71;68;29;37
10012;06/16/2025;18:00:00;70;61;49;49;4524;2440;70;583;69;68;28;38;71;67;28;39
10013;06/16/2025;18:15:00;70;61;50;50;4582;2408;69;580;70;68;28;38;71;68;29;38
10014;06/16/2025;18:30:00;70;62;49;49;4552;2416;70;571;70;68;27;36;71;68;28;36
10015;06/16/2025;18:45:00;70;61;48;49;4488;2431;70;574;70;68;28;37;71;68;28;37
10016;06/16/2025;19:00:00;70;62;48;48;4494;2429;70;579;69;69;28;36;70;68;28;37
10017;06/16/2025;19:15:00;70;61;49;48;4501;2441;70;583;69;68;27;36;71;68;29;36
10018;06/16/2025;19:30:00;70;62;49;50;4566;2421;70;584;70;68;28;36;71;68;27;36
